twogram,frequency
salut maman,3512
a tout,3506
vous venez,3503
sait pas,3502
amusezvous bien,3498
où sont,3496
une fille,3495
qui ta,3491
vous dire,3490
comment vatelle,3489
veux te,3488
tu trouves,3484
jai changé,3482
comment va,3481
oui et,3478
quavezvous fait,3477
votre arme,3474
vos armes,3466
tu y,3464
un autre,3460
cest mignon,3450
doute pas,3446
cest compliqué,3445
mais questce,3442
bien vu,3442
plaisante pas,3440
cest grave,3439
aucun problème,3435
te va,3432
cest simple,3425
ça craint,3425
quoi le,3423
a moi,3422
cest dur,3420
cest promis,3420
me le,3419
cest dégoûtant,3412
trop tôt,3410
comme toujours,3410
cet endroit,3409
ne voulais,3408
cétait génial,3405
me voir,3403
tu aimes,3399
alors cest,3397
pas exactement,3394
eh oui,3388
le tuer,3382
pars pas,3382
ne pars,3382
quoi cette,3377
la prochaine,3375
quon a,3375
à vos,3373
je répète,3372
elle nest,3372
te poser,3371
ce serait,3369
ai assez,3367
je narrive,3365
le meilleur,3365
narrive pas,3365
se calme,3365
ne men,3363
un café,3361
oh bon,3359
media group,3357
cest arrivé,3354
suis tellement,3353
tu déconnes,3347
le fais,3344
quel dommage,3342
peux taider,3341
rentre à,3341
ça dépend,3339
jadore ça,3338
laissemoi tranquille,3337
je meurs,3335
au diable,3328
quand même,3327
pas fait,3320
lui ai,3318
où sommesnous,3315
sen sortir,3303
ne sera,3302
sera pas,3302
sortez de,3298
vous devez,3298
un mot,3294
sur moi,3293
faire pour,3289
du nouveau,3288
je savais,3286
dois faire,3282
par exemple,3282
voulais dire,3281
prends soin,3277
la semaine,3276
le voir,3274
a terre,3267
sens pas,3264
vais essayer,3264
si vite,3263
bon travail,3262
me tuer,3260
cest différent,3259
veuxtu que,3259
la guerre,3258
avec qui,3257
est arrivé,3255
des enfants,3254
cest dommage,3249
la mienne,3247
te montrer,3245
reste avec,3242
reviens pas,3240
une ambulance,3239
cétait qui,3238
cest daccord,3234
attendez attendez,3227
cest votre,3210
sors dici,3203
nous tous,3199
merci papa,3197
es folle,3196
autre fois,3193
ferme la,3193
penses quoi,3192
veux que,3191
pas nécessaire,3189
oh allez,3185
quallezvous faire,3181
cest fantastique,3180
restez là,3176
mest égal,3176
de qui,3174
ouais je,3174
mais bien,3169
me connais,3168
jarrive tout,3166
je pars,3164
certainement pas,3161
vous désirez,3148
nen peux,3148
ce nétait,3148
tenez bon,3147
en veux,3145
cest marrant,3141
la merde,3141
est de,3140
jai gagné,3136
on rentre,3129
ai aucune,3127
bougez plus,3126
propos de,3120
je déteste,3118
allez vasy,3116
toutes mes,3113
en êtes,3107
où on,3107
de plus,3100
faitesvous là,3100
aux toilettes,3098
un cadeau,3097
y en,3092
vous souvenez,3091
suis sûre,3090
sont les,3089
à y,3085
veuillez mexcuser,3085
où allonsnous,3084
ce ne,3079
comprends rien,3073
a longtemps,3071
venez ici,3070
en supplie,3069
cest affreux,3067
je rigole,3067
tu étais,3064
une longue,3060
est vivant,3059
bouge plus,3058
qui va,3055
a gagné,3054
as besoin,3054
te senstu,3049
aucun sens,3049
comment te,3049
na aucun,3049
à rien,3048
ils vont,3047
sont partis,3041
m c,3040
rien vu,3040
c m,3040
pas mourir,3039
suis enceinte,3030
a lair,3030
compte sur,3029
que distu,3028
bon de,3027
sois prudent,3026
vous sentezvous,3026
le savoir,3025
plus ou,3025
ou moins,3025
laissemoi faire,3023
le droit,3021
une dernière,3019
difficile à,3018
un moment,3016
de souci,3012
ça cest,3012
vous devriez,3007
arrive pas,3006
sera tout,3006
fait longtemps,3005
ten supplie,2997
ça signifie,2993
ten dis,2993
beau travail,2990
te déteste,2989
mais quoi,2986
à voir,2983
puisje pour,2982
est magnifique,2980
bon voyage,2970
nen veux,2969
vous mentez,2969
a toi,2968
moi oui,2967
suis navré,2965
est malade,2965
mon bébé,2961
parle pas,2961
restez ici,2959
suis sérieuse,2958
toi de,2957
de largent,2955
nai jamais,2954
non attendez,2954
pas pourquoi,2953
avez fait,2951
pour toujours,2944
pourquoi donc,2941
un ami,2938
le croire,2934
devrais y,2931
vais lui,2930
se connaît,2928
vous la,2926
le pense,2926
fait chier,2924
sens mieux,2923
je tappelle,2921
arrête de,2920
te trompes,2919
ha ha,2918
savez ce,2914
très gentil,2911
quoi bon,2905
suis content,2905
rentrez chez,2904
dans une,2904
cest formidable,2893
merci de,2893
ten veux,2891
qui étaitce,2889
rien dautre,2888
a ton,2886
es superbe,2886
las fait,2882
le coup,2879
faire voir,2878
pleure pas,2877
oh bien,2877
je travaille,2875
en penses,2873
fais confiance,2871
mais pas,2870
comment il,2870
avec vous,2867
ai dit,2863
cétait moi,2861
bon appétit,2857
sdi media,2854
très joli,2850
une surprise,2847
questce quils,2846
jai réussi,2843
suis occupé,2843
las vu,2839
du café,2831
où en,2831
déjà dit,2830
oui tout,2823
avezvous fait,2822
de sens,2815
pas dimportance,2814
pas beaucoup,2814
ma parole,2814
le demande,2809
pour nous,2807
a vous,2803
cest par,2803
je refuse,2797
un piège,2796
que faiton,2794
jen étais,2794
ou non,2794
oui ou,2794
cest joli,2793
quatil dit,2792
arranger ça,2787
je ladore,2783
cest urgent,2770
pas mon,2770
est pas,2770
ferai pas,2769
es prête,2768
naime pas,2767
je naime,2767
fous le,2767
qui lui,2764
peut y,2764
encore un,2764
qui le,2763
cest sérieux,2762
as peur,2752
bon anniversaire,2751
tu laimes,2749
cest sympa,2747
un garçon,2747
juste un,2746
monde est,2746
chose pour,2744
te regarde,2734
je navais,2729
navais pas,2729
jaurais dû,2728
ça mest,2728
non jamais,2727
vous sentez,2722
vais taider,2717
mes condoléances,2717
vas voir,2714
dieu non,2714
le dr,2705
nayez pas,2702
mon cul,2699
pas en,2698
pas aujourdhui,2698
laissez un,2697
cest facile,2693
ton temps,2687
oui capitaine,2683
salut chérie,2683
pour lamour,2681
pas ta,2677
pas daccord,2674
une bière,2671
non madame,2667
là là,2665
laissemoi deviner,2661
merci docteur,2660
peux me,2657
arrêtez ça,2654
nen suis,2653
ou pas,2653
vous y,2647
quil dit,2647
va le,2647
suis prête,2647
as compris,2645
que ditesvous,2641
pas long,2640
navez pas,2639
va chier,2635
comment astu,2634
est mon,2634
deux fois,2633
je sors,2633
aucune importance,2631
de votre,2631
jaimerais bien,2628
presque fini,2627
cest difficile,2627
ca marche,2626
fait de,2625
ferme les,2625
mon mari,2624
nen doute,2624
et messieurs,2622
mesdames et,2622
va où,2620
qui veut,2615
à qui,2613
il la,2613
de ta,2609
tout comme,2608
astu fait,2608
sait jamais,2607
bon ça,2604
amusetoi bien,2601
salut toi,2598
nas rien,2595
ça oui,2594
allez mec,2592
ten souviens,2590
à foutre,2585
tas dit,2584
cest intéressant,2580
fais de,2576
le bébé,2575
cette fois,2575
dêtre venus,2573
lui estil,2573
cest nimporte,2570
ny en,2566
aucun doute,2565
venez par,2558
jamais de,2558
vous dites,2558
dans le,2556
il sappelle,2556
tas entendu,2554
trouvé quelque,2553
y sommes,2546
veux venir,2545
merci infiniment,2544
trop dangereux,2539
oh là,2539
dêtre venue,2537
la fille,2537
dis quelque,2537
cest évident,2535
ne la,2534
jai de,2534
ne mens,2532
vous voilà,2531
ne plaisante,2530
je plaisantais,2528
très bon,2528
lai trouvé,2526
mon tour,2521
va mourir,2519
ça roule,2518
mon amour,2517
