search_string,start_time,end_time,sentence,video_id,video_url
maar ik zou ook aan iedereen willen vragen en mee willen geven laat ons vooral aardig blijven voor elkaar,2872,2879,maar ik zou ook aan iedereen willen vragen en mee willen geven laat ons vooral aardig blijven voor elkaar,6aI9JzwGJy8,https://www.youtube.com/watch?v=6aI9JzwGJy8&t=2872s
ik kan me voorstellen om dat allemaal gedaan te krijgen dat er toch een heel team achter jullie staat bij,420,426,ik kan me voorstellen om dat allemaal gedaan te krijgen dat er toch een heel team achter jullie staat bij natuurpunt,c3imsNDCM2o,https://www.youtube.com/watch?v=c3imsNDCM2o&t=420s
en als we dan kijken dan zal mijn camera tegen het licht in moeten wat er allemaal aan de hand is geweest,149,157,en als we dan kijken dan zal mijn camera tegen het licht in moeten wat er allemaal aan de hand is geweest,KXYcgeiSyAo,https://www.youtube.com/watch?v=KXYcgeiSyAo&t=149s
die is daar niet echt mee bezig met het spel zelf maar die heeft wel denk ik door wat ik aan het doen ben,1224,1231,die is daar niet echt mee bezig met het spel zelf maar die heeft wel denk ik door wat ik aan het doen ben,dMYF3M820Vg,https://www.youtube.com/watch?v=dMYF3M820Vg&t=1224s
dan kunnen we haar lekker zien en dan horen we het ook wel een beetje maar niet zo hard als je hier staat,357,362,dan kunnen we haar lekker zien en dan horen we het ook wel een beetje maar niet zo hard als je hier staat,zb9mrqt8ZUw,https://www.youtube.com/watch?v=zb9mrqt8ZUw&t=357s
we weer te horen dat we een stap verder waren maar nog steeds niet zo ver dat we er geld op konden zetten,1773,1779,en dan kregen we weer te horen dat we een stap verder waren maar nog steeds niet zo ver dat we er geld op konden zetten,hXMn1yLeCzU,https://www.youtube.com/watch?v=hXMn1yLeCzU&t=1773s
veel van wat ik nu doe omdat het nu echt net gaat lopen dus ik heb het gevoel mijn werk is niet af ik wil,204,213,ja enerzijds veel van wat ik nu doe omdat het nu echt net gaat lopen dus ik heb het gevoel mijn werk is niet af ik wil,hG5XRK8G29c,https://www.youtube.com/watch?v=hG5XRK8G29c&t=204s
of dat idee en dan moet ik er elke keer bij zeggen ik bedoel niet dat idee dat we elkaar allemaal moeten,3874,3883,of dat idee en dan moet ik er elke keer bij zeggen ik bedoel niet dat idee dat we elkaar allemaal moeten knuffelen enzo,biKaNGgB3H8,https://www.youtube.com/watch?v=biKaNGgB3H8&t=3874s
maar hij vond het dus ook mooi dat we er met ons gezin in gingen wonen in plaats van dat het om zou gaan,191,199,maar hij vond het dus ook mooi dat we er met ons gezin in gingen wonen in plaats van dat het om zou gaan,zb9mrqt8ZUw,https://www.youtube.com/watch?v=zb9mrqt8ZUw&t=191s
eerst dacht ik dat het geen goede foto was om te gebruiken omdat er een auto op stond en niet alleen een,96,105,eerst dacht ik dat het geen goede foto was om te gebruiken omdat er een auto op stond en niet alleen een bos en een huis,09OqU_ATrG0,https://www.youtube.com/watch?v=09OqU_ATrG0&t=96s
ja dat is eigenlijk een beetje daar waar alles bij elkaar komt maar daarvoor zit een heel stuk werk waar,210,214,ja dat is eigenlijk een beetje daar waar alles bij elkaar komt maar daarvoor zit een heel stuk werk waar,cOtHAQomfSE,https://www.youtube.com/watch?v=cOtHAQomfSE&t=210s
want in het onderzoek kwam ook naar voor dat er eigenlijk geen mensen zijn die heel erg goed zijn in het,454,461,want in het onderzoek kwam ook naar voor dat er eigenlijk geen mensen zijn die heel erg goed zijn in het detecteren van leugens,0PpksnCbmac,https://www.youtube.com/watch?v=0PpksnCbmac&t=454s
ja daar loop je voor dan maakte het mij niet uit hoe hard ik moest werken en hoe weinig ik betaald kreeg,3300,3307,ja daar loop je voor dan maakte het mij niet uit hoe hard ik moest werken en hoe weinig ik betaald kreeg,25udztDPW_k,https://www.youtube.com/watch?v=25udztDPW_k&t=3300s
en dan gaat iedereen terug naar zijn feest dat zijn we dit jaar ook mee begonnen ik en mijn vrouw en de,861,867,en dan gaat iedereen terug naar zijn feest dat zijn we dit jaar ook mee begonnen ik en mijn vrouw en de buren hiernaast,KDqGBvd93e4,https://www.youtube.com/watch?v=KDqGBvd93e4&t=861s
